"candidate_number","candidate_id","product_name","brand","category","presentation","supplier_source","cost","cost_currency","aed_price","availability","compliance_registration","gross_margin","moq","media_status","commercial_priority","publish_ready","source_class","source_file","source_line_or_record","evidence_notes","blocker","next_action"
"1","INT-GUA-200","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","founder_required","false","legacy_demo_reference","supabase/legacy-lovable/20260606013014_dc708c0e-8aed-42e8-bdc0-03b193c62a44.sql","line 36; SKU INT-GUA-200","NON-OPERATIVE legacy demo reference label: Guajillo Chiles 200g. Demo price, stock, and halal flags are quarantined and are not operational evidence.","Founder evidence required for identity, supplier, commercial terms, availability, compliance, and media rights.","Founder to provide documentary evidence before any operational field changes from UNKNOWN."
"2","INT-SLV-450","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","founder_required","false","legacy_demo_reference","supabase/legacy-lovable/20260606013014_dc708c0e-8aed-42e8-bdc0-03b193c62a44.sql","line 37; SKU INT-SLV-450","NON-OPERATIVE legacy demo reference label: Green Salsa 450g. Demo price, stock, and halal flags are quarantined and are not operational evidence.","Founder evidence required for identity, supplier, commercial terms, availability, compliance, and media rights.","Founder to provide documentary evidence before any operational field changes from UNKNOWN."
"3","INT-TOT-300","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","founder_required","false","legacy_demo_reference","supabase/legacy-lovable/20260606013014_dc708c0e-8aed-42e8-bdc0-03b193c62a44.sql","line 38; SKU INT-TOT-300","NON-OPERATIVE legacy demo reference label: Blue Corn Tortilla Chips 300g. Demo price, stock, and halal flags are quarantined and are not operational evidence.","Founder evidence required for identity, supplier, commercial terms, availability, compliance, and media rights.","Founder to provide documentary evidence before any operational field changes from UNKNOWN."
"9","8cc4e82c-e0e9-4206-b762-a5a41e7f4120","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","founder_required","false","seo_reference_only","supabase/legacy-lovable/20260609020000_product_seo_batch.sql","line 13; product_id 8cc4e82c-e0e9-4206-b762-a5a41e7f4120","NON-OPERATIVE SEO reference label: Japanese Style Peanuts With Valentina Sauce 30g; source category keyword: snacks. Buy, availability, delivery, and supplier keywords are not operational evidence.","Verified identity, supplier, commercial terms, availability, compliance, and media rights are missing.","Founder to confirm the candidate identity and provide primary commercial evidence."
"10","bc3e0f77-12b6-4d91-a163-f823477db8c0","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","founder_required","false","seo_reference_only","supabase/legacy-lovable/20260609020000_product_seo_batch.sql","line 14; product_id bc3e0f77-12b6-4d91-a163-f823477db8c0","NON-OPERATIVE SEO reference label: Banderilla, Tamaroca Tamarind Mexican Stick 1pcs; source category keyword: snacks. Buy, availability, delivery, and supplier keywords are not operational evidence.","Verified identity, supplier, commercial terms, availability, compliance, and media rights are missing.","Founder to confirm the candidate identity and provide primary commercial evidence."
"11","1dcbf688-4a12-4021-84c2-02f57a0826d9","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","founder_required","false","seo_reference_only","supabase/legacy-lovable/20260609020000_product_seo_batch.sql","line 15; product_id 1dcbf688-4a12-4021-84c2-02f57a0826d9","NON-OPERATIVE SEO reference label: Pepe Crunch Peanuts Habanero Flavour 500g; anomalous source category keyword: salsas. Proposed snacks classification requires Founder confirmation. Buy, availability, delivery, and supplier keywords are not operational evidence.","Source category is anomalous; verified identity, supplier, commercial terms, availability, compliance, and media rights are missing.","Founder to decide category and provide primary commercial evidence."
"12","189a0de0-bb7c-45f6-9f54-eaee757a83e1","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","founder_required","false","seo_reference_only","supabase/legacy-lovable/20260609020000_product_seo_batch.sql","line 16; product_id 189a0de0-bb7c-45f6-9f54-eaee757a83e1","NON-OPERATIVE SEO reference label: Pepe Crunch Peanuts Chipotle Flavour 500g; source category keyword: snacks. Buy, availability, delivery, and supplier keywords are not operational evidence.","Verified identity, supplier, commercial terms, availability, compliance, and media rights are missing.","Founder to confirm the candidate identity and provide primary commercial evidence."
"13","444ed887-7551-4641-9d2b-71c7f95a447e","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","founder_required","false","seo_reference_only","supabase/legacy-lovable/20260609020000_product_seo_batch.sql","line 20; product_id 444ed887-7551-4641-9d2b-71c7f95a447e","NON-OPERATIVE SEO reference label: La Costeña Green Salsa 475gm; source category keyword: salsas. The Haiku audit flags an unresolved 450g versus 475gm presentation conflict, so presentation remains UNKNOWN. Buy, availability, delivery, and supplier keywords are not operational evidence.","Presentation conflict and primary commercial evidence remain unresolved.","Founder to verify the package presentation and provide primary commercial evidence."
"14","7d1cb3ad-56e5-458b-b87a-24f39a6635e4","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","founder_required","false","seo_reference_only","supabase/legacy-lovable/20260609020000_product_seo_batch.sql","line 21; product_id 7d1cb3ad-56e5-458b-b87a-24f39a6635e4","NON-OPERATIVE SEO reference label: Jarritos Fruit Punch Drink 370ML; source category keyword: beverages. Buy, availability, delivery, and supplier keywords are not operational evidence.","Verified identity, supplier, commercial terms, availability, compliance, and media rights are missing.","Founder to confirm the candidate identity and provide primary commercial evidence."
"15","a187f1f0-b9e2-4e5e-8aba-27dab78e468a","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","founder_required","false","seo_reference_only","supabase/legacy-lovable/20260609020000_product_seo_batch.sql","line 22; product_id a187f1f0-b9e2-4e5e-8aba-27dab78e468a","NON-OPERATIVE SEO reference label: Jarritos Grapefruit Drink 370ML; source category keyword: beverages. Buy, availability, delivery, and supplier keywords are not operational evidence.","Verified identity, supplier, commercial terms, availability, compliance, and media rights are missing.","Founder to confirm the candidate identity and provide primary commercial evidence."
