"account_id","business_name","emirate","business_type","website","public_contact","decision_maker","qualification_score","priority","stage","last_contact","next_action","owner","source_url","notes"
"CM-GTM-001","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-002","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-003","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-004","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-005","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-006","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-007","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-008","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-009","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-010","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-011","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-012","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-013","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-014","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-015","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-016","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-017","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-018","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-019","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-020","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-021","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-022","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-023","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-024","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-025","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-026","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-027","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-028","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-029","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"CM-GTM-030","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNASSIGNED","EMPTY","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
